season,season_type,week_name,week_start,week_end,game_name,game_short,game_date,home_team,home_venue,away_team
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,New York Giants at Dallas Cowboys,NYG @ DAL,2024-11-28 21:30:00+00:00,Dallas Cowboys,AT&T Stadium,New York Giants
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Miami Dolphins at Green Bay Packers,MIA @ GB,2024-11-29 01:20:00+00:00,Green Bay Packers,Lambeau Field,Miami Dolphins
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Las Vegas Raiders at Kansas City Chiefs,LV @ KC,2024-11-29 20:00:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Las Vegas Raiders
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Los Angeles Chargers at Atlanta Falcons,LAC @ ATL,2024-12-01 18:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Los Angeles Chargers
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Pittsburgh Steelers at Cincinnati Bengals,PIT @ CIN,2024-12-01 18:00:00+00:00,Cincinnati Bengals,Paycor Stadium,Pittsburgh Steelers
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Arizona Cardinals at Minnesota Vikings,ARI @ MIN,2024-12-01 18:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Arizona Cardinals
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Indianapolis Colts at New England Patriots,IND @ NE,2024-12-01 18:00:00+00:00,New England Patriots,Gillette Stadium,Indianapolis Colts
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Seattle Seahawks at New York Jets,SEA @ NYJ,2024-12-01 18:00:00+00:00,New York Jets,MetLife Stadium,Seattle Seahawks
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Tennessee Titans at Washington Commanders,TEN @ WSH,2024-12-01 18:00:00+00:00,Washington Commanders,Commanders Field,Tennessee Titans
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Houston Texans at Jacksonville Jaguars,HOU @ JAX,2024-12-01 18:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,Houston Texans
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Los Angeles Rams at New Orleans Saints,LAR @ NO,2024-12-01 21:05:00+00:00,New Orleans Saints,Caesars Superdome,Los Angeles Rams
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Tampa Bay Buccaneers at Carolina Panthers,TB @ CAR,2024-12-01 21:05:00+00:00,Carolina Panthers,Bank of America Stadium,Tampa Bay Buccaneers
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Philadelphia Eagles at Baltimore Ravens,PHI @ BAL,2024-12-01 21:25:00+00:00,Baltimore Ravens,M&T Bank Stadium,Philadelphia Eagles
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,San Francisco 49ers at Buffalo Bills,SF @ BUF,2024-12-02 01:20:00+00:00,Buffalo Bills,Highmark Stadium,San Francisco 49ers
Regular Season,2,Week 13,2024-11-27 08:00:00+00:00,2024-12-04 07:59:00+00:00,Cleveland Browns at Denver Broncos,CLE @ DEN,2024-12-03 01:15:00+00:00,Denver Broncos,Empower Field at Mile High,Cleveland Browns
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Green Bay Packers at Detroit Lions,GB @ DET,2024-12-06 01:15:00+00:00,Detroit Lions,Ford Field,Green Bay Packers
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Jacksonville Jaguars at Tennessee Titans,JAX @ TEN,2024-12-08 18:00:00+00:00,Tennessee Titans,Nissan Stadium,Jacksonville Jaguars
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,New York Jets at Miami Dolphins,NYJ @ MIA,2024-12-08 18:00:00+00:00,Miami Dolphins,Hard Rock Stadium,New York Jets
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Atlanta Falcons at Minnesota Vikings,ATL @ MIN,2024-12-08 18:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Atlanta Falcons
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,New Orleans Saints at New York Giants,NO @ NYG,2024-12-08 18:00:00+00:00,New York Giants,MetLife Stadium,New Orleans Saints
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Carolina Panthers at Philadelphia Eagles,CAR @ PHI,2024-12-08 18:00:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Carolina Panthers
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Cleveland Browns at Pittsburgh Steelers,CLE @ PIT,2024-12-08 18:00:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Cleveland Browns
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Las Vegas Raiders at Tampa Bay Buccaneers,LV @ TB,2024-12-08 18:00:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Las Vegas Raiders
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Seattle Seahawks at Arizona Cardinals,SEA @ ARI,2024-12-08 21:05:00+00:00,Arizona Cardinals,State Farm Stadium,Seattle Seahawks
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Buffalo Bills at Los Angeles Rams,BUF @ LAR,2024-12-08 21:25:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Buffalo Bills
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Chicago Bears at San Francisco 49ers,CHI @ SF,2024-12-08 21:25:00+00:00,San Francisco 49ers,Levi's Stadium,Chicago Bears
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Los Angeles Chargers at Kansas City Chiefs,LAC @ KC,2024-12-09 01:20:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Los Angeles Chargers
Regular Season,2,Week 14,2024-12-04 08:00:00+00:00,2024-12-11 07:59:00+00:00,Cincinnati Bengals at Dallas Cowboys,CIN @ DAL,2024-12-10 01:15:00+00:00,Dallas Cowboys,AT&T Stadium,Cincinnati Bengals
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Los Angeles Rams at San Francisco 49ers,LAR @ SF,2024-12-13 01:15:00+00:00,San Francisco 49ers,Levi's Stadium,Los Angeles Rams
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Kansas City Chiefs at Cleveland Browns,KC @ CLE,2024-12-15 18:00:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Kansas City Chiefs
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Cincinnati Bengals at Tennessee Titans,CIN @ TEN,2024-12-15 18:00:00+00:00,Tennessee Titans,Nissan Stadium,Cincinnati Bengals
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Washington Commanders at New Orleans Saints,WSH @ NO,2024-12-15 18:00:00+00:00,New Orleans Saints,Caesars Superdome,Washington Commanders
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Baltimore Ravens at New York Giants,BAL @ NYG,2024-12-15 18:00:00+00:00,New York Giants,MetLife Stadium,Baltimore Ravens
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Dallas Cowboys at Carolina Panthers,DAL @ CAR,2024-12-15 18:00:00+00:00,Carolina Panthers,Bank of America Stadium,Dallas Cowboys
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,New York Jets at Jacksonville Jaguars,NYJ @ JAX,2024-12-15 18:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,New York Jets
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Miami Dolphins at Houston Texans,MIA @ HOU,2024-12-15 18:00:00+00:00,Houston Texans,NRG Stadium,Miami Dolphins
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Indianapolis Colts at Denver Broncos,IND @ DEN,2024-12-15 21:25:00+00:00,Denver Broncos,Empower Field at Mile High,Indianapolis Colts
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Buffalo Bills at Detroit Lions,BUF @ DET,2024-12-15 21:25:00+00:00,Detroit Lions,Ford Field,Buffalo Bills
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Pittsburgh Steelers at Philadelphia Eagles,PIT @ PHI,2024-12-15 21:25:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Pittsburgh Steelers
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,New England Patriots at Arizona Cardinals,NE @ ARI,2024-12-15 21:25:00+00:00,Arizona Cardinals,State Farm Stadium,New England Patriots
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Tampa Bay Buccaneers at Los Angeles Chargers,TB @ LAC,2024-12-15 21:25:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Tampa Bay Buccaneers
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Green Bay Packers at Seattle Seahawks,GB @ SEA,2024-12-16 01:20:00+00:00,Seattle Seahawks,Lumen Field,Green Bay Packers
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Chicago Bears at Minnesota Vikings,CHI @ MIN,2024-12-17 01:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Chicago Bears
Regular Season,2,Week 15,2024-12-11 08:00:00+00:00,2024-12-18 07:59:00+00:00,Atlanta Falcons at Las Vegas Raiders,ATL @ LV,2024-12-17 01:30:00+00:00,Las Vegas Raiders,Allegiant Stadium,Atlanta Falcons
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Cleveland Browns at Cincinnati Bengals,CLE @ CIN,2024-12-20 01:15:00+00:00,Cincinnati Bengals,Paycor Stadium,Cleveland Browns
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Houston Texans at Kansas City Chiefs,HOU @ KC,2024-12-21 18:00:00+00:00,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Houston Texans
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Pittsburgh Steelers at Baltimore Ravens,PIT @ BAL,2024-12-21 21:30:00+00:00,Baltimore Ravens,M&T Bank Stadium,Pittsburgh Steelers
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,New York Giants at Atlanta Falcons,NYG @ ATL,2024-12-22 18:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,New York Giants
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,New England Patriots at Buffalo Bills,NE @ BUF,2024-12-22 18:00:00+00:00,Buffalo Bills,Highmark Stadium,New England Patriots
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Detroit Lions at Chicago Bears,DET @ CHI,2024-12-22 18:00:00+00:00,Chicago Bears,Soldier Field,Detroit Lions
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Tennessee Titans at Indianapolis Colts,TEN @ IND,2024-12-22 18:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Tennessee Titans
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Los Angeles Rams at New York Jets,LAR @ NYJ,2024-12-22 18:00:00+00:00,New York Jets,MetLife Stadium,Los Angeles Rams
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Philadelphia Eagles at Washington Commanders,PHI @ WSH,2024-12-22 18:00:00+00:00,Washington Commanders,Commanders Field,Philadelphia Eagles
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Arizona Cardinals at Carolina Panthers,ARI @ CAR,2024-12-22 18:00:00+00:00,Carolina Panthers,Bank of America Stadium,Arizona Cardinals
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Denver Broncos at Los Angeles Chargers,DEN @ LAC,2024-12-22 21:05:00+00:00,Los Angeles Chargers,Dignity Health Sports Park,Denver Broncos
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Minnesota Vikings at Seattle Seahawks,MIN @ SEA,2024-12-22 21:05:00+00:00,Seattle Seahawks,Lumen Field,Minnesota Vikings
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Jacksonville Jaguars at Las Vegas Raiders,JAX @ LV,2024-12-22 21:25:00+00:00,Las Vegas Raiders,Allegiant Stadium,Jacksonville Jaguars
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,San Francisco 49ers at Miami Dolphins,SF @ MIA,2024-12-22 21:25:00+00:00,Miami Dolphins,Hard Rock Stadium,San Francisco 49ers
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,Tampa Bay Buccaneers at Dallas Cowboys,TB @ DAL,2024-12-23 01:20:00+00:00,Dallas Cowboys,AT&T Stadium,Tampa Bay Buccaneers
Regular Season,2,Week 16,2024-12-18 08:00:00+00:00,2024-12-25 07:59:00+00:00,New Orleans Saints at Green Bay Packers,NO @ GB,2024-12-24 01:15:00+00:00,Green Bay Packers,Lambeau Field,New Orleans Saints
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Kansas City Chiefs at Pittsburgh Steelers,KC @ PIT,2024-12-25 18:00:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Kansas City Chiefs
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Baltimore Ravens at Houston Texans,BAL @ HOU,2024-12-25 21:30:00+00:00,Houston Texans,NRG Stadium,Baltimore Ravens
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Seattle Seahawks at Chicago Bears,SEA @ CHI,2024-12-27 01:15:00+00:00,Chicago Bears,Soldier Field,Seattle Seahawks
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Denver Broncos at Cincinnati Bengals,DEN @ CIN,2024-12-29 05:00:00+00:00,Cincinnati Bengals,Paycor Stadium,Denver Broncos
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Arizona Cardinals at Los Angeles Rams,ARI @ LAR,2024-12-29 05:00:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Arizona Cardinals
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Los Angeles Chargers at New England Patriots,LAC @ NE,2024-12-29 05:00:00+00:00,New England Patriots,Gillette Stadium,Los Angeles Chargers
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Indianapolis Colts at New York Giants,IND @ NYG,2024-12-29 05:00:00+00:00,New York Giants,MetLife Stadium,Indianapolis Colts
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Atlanta Falcons at Washington Commanders,ATL @ WSH,2024-12-29 05:00:00+00:00,Washington Commanders,Commanders Field,Atlanta Falcons
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,New York Jets at Buffalo Bills,NYJ @ BUF,2024-12-29 18:00:00+00:00,Buffalo Bills,Highmark Stadium,New York Jets
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Green Bay Packers at Minnesota Vikings,GB @ MIN,2024-12-29 18:00:00+00:00,Minnesota Vikings,U.S. Bank Stadium,Green Bay Packers
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Las Vegas Raiders at New Orleans Saints,LV @ NO,2024-12-29 18:00:00+00:00,New Orleans Saints,Caesars Superdome,Las Vegas Raiders
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Carolina Panthers at Tampa Bay Buccaneers,CAR @ TB,2024-12-29 18:00:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,Carolina Panthers
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Tennessee Titans at Jacksonville Jaguars,TEN @ JAX,2024-12-29 18:00:00+00:00,Jacksonville Jaguars,EverBank Stadium,Tennessee Titans
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Dallas Cowboys at Philadelphia Eagles,DAL @ PHI,2024-12-29 21:25:00+00:00,Philadelphia Eagles,Lincoln Financial Field,Dallas Cowboys
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Miami Dolphins at Cleveland Browns,MIA @ CLE,2024-12-30 01:20:00+00:00,Cleveland Browns,Cleveland Browns Stadium,Miami Dolphins
Regular Season,2,Week 17,2024-12-25 08:00:00+00:00,2025-01-01 07:59:00+00:00,Detroit Lions at San Francisco 49ers,DET @ SF,2024-12-31 01:15:00+00:00,San Francisco 49ers,Levi's Stadium,Detroit Lions
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Carolina Panthers at Atlanta Falcons,CAR @ ATL,2025-01-05 05:00:00+00:00,Atlanta Falcons,Mercedes-Benz Stadium,Carolina Panthers
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Washington Commanders at Dallas Cowboys,WSH @ DAL,2025-01-05 05:00:00+00:00,Dallas Cowboys,AT&T Stadium,Washington Commanders
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Kansas City Chiefs at Denver Broncos,KC @ DEN,2025-01-05 05:00:00+00:00,Denver Broncos,Empower Field at Mile High,Kansas City Chiefs
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Minnesota Vikings at Detroit Lions,MIN @ DET,2025-01-05 05:00:00+00:00,Detroit Lions,Ford Field,Minnesota Vikings
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Chicago Bears at Green Bay Packers,CHI @ GB,2025-01-05 05:00:00+00:00,Green Bay Packers,Lambeau Field,Chicago Bears
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Houston Texans at Tennessee Titans,HOU @ TEN,2025-01-05 05:00:00+00:00,Tennessee Titans,Nissan Stadium,Houston Texans
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Jacksonville Jaguars at Indianapolis Colts,JAX @ IND,2025-01-05 05:00:00+00:00,Indianapolis Colts,Lucas Oil Stadium,Jacksonville Jaguars
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Los Angeles Chargers at Las Vegas Raiders,LAC @ LV,2025-01-05 05:00:00+00:00,Las Vegas Raiders,Allegiant Stadium,Los Angeles Chargers
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Seattle Seahawks at Los Angeles Rams,SEA @ LAR,2025-01-05 05:00:00+00:00,Los Angeles Rams,Los Angeles Memorial Coliseum,Seattle Seahawks
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Buffalo Bills at New England Patriots,BUF @ NE,2025-01-05 05:00:00+00:00,New England Patriots,Gillette Stadium,Buffalo Bills
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Miami Dolphins at New York Jets,MIA @ NYJ,2025-01-05 05:00:00+00:00,New York Jets,MetLife Stadium,Miami Dolphins
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,New York Giants at Philadelphia Eagles,NYG @ PHI,2025-01-05 05:00:00+00:00,Philadelphia Eagles,Lincoln Financial Field,New York Giants
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,San Francisco 49ers at Arizona Cardinals,SF @ ARI,2025-01-05 05:00:00+00:00,Arizona Cardinals,State Farm Stadium,San Francisco 49ers
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Cincinnati Bengals at Pittsburgh Steelers,CIN @ PIT,2025-01-05 05:00:00+00:00,Pittsburgh Steelers,Acrisure Stadium,Cincinnati Bengals
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,New Orleans Saints at Tampa Bay Buccaneers,NO @ TB,2025-01-05 05:00:00+00:00,Tampa Bay Buccaneers,Raymond James Stadium,New Orleans Saints
Regular Season,2,Week 18,2025-01-01 08:00:00+00:00,2025-01-08 07:59:00+00:00,Cleveland Browns at Baltimore Ravens,CLE @ BAL,2025-01-05 05:00:00+00:00,Baltimore Ravens,M&T Bank Stadium,Cleveland Browns
Postseason,3,Wild Card,2025-01-08 08:00:00+00:00,2025-01-17 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-11 05:00:00+00:00,,,
Postseason,3,Wild Card,2025-01-08 08:00:00+00:00,2025-01-17 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-11 05:00:00+00:00,,,
Postseason,3,Wild Card,2025-01-08 08:00:00+00:00,2025-01-17 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-11 05:00:00+00:00,,,
Postseason,3,Wild Card,2025-01-08 08:00:00+00:00,2025-01-17 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-12 05:00:00+00:00,,,
Postseason,3,Wild Card,2025-01-08 08:00:00+00:00,2025-01-17 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-12 05:00:00+00:00,,,
Postseason,3,Wild Card,2025-01-08 08:00:00+00:00,2025-01-17 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-12 05:00:00+00:00,,,
Postseason,3,Divisional Round,2025-01-17 08:00:00+00:00,2025-01-24 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-18 05:00:00+00:00,,,
Postseason,3,Divisional Round,2025-01-17 08:00:00+00:00,2025-01-24 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-18 05:00:00+00:00,,,
Postseason,3,Divisional Round,2025-01-17 08:00:00+00:00,2025-01-24 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-19 05:00:00+00:00,,,
Postseason,3,Divisional Round,2025-01-17 08:00:00+00:00,2025-01-24 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-19 05:00:00+00:00,,,
Postseason,3,Conference Championship,2025-01-24 08:00:00+00:00,2025-01-31 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-26 05:00:00+00:00,,,
Postseason,3,Conference Championship,2025-01-24 08:00:00+00:00,2025-01-31 07:59:00+00:00,TBD TBD at TBD TBD,TBD @ TBD,2025-01-26 05:00:00+00:00,,,
Postseason,3,Pro Bowl,2025-01-31 08:00:00+00:00,2025-02-07 07:59:00+00:00,AFC  at NFC ,AFC VS NFC,2025-02-02 05:00:00+00:00,,,
Postseason,3,Super Bowl,2025-02-07 08:00:00+00:00,2025-02-15 07:59:00+00:00,TBD TBD at TBD TBD,TBD VS TBD,2025-02-09 05:00:00+00:00,,,
